CCODE,ISO -3 ,Countries\Indicators,Status,EVI,a,Exposure index,b,Population,,c,Remoteness,,,d,Share of population in low elevated coastal zones ,,e,Economic structure index,f,Export concentration,,g,"Shares of agriculture, forestry and fisheries",,h,Shock index,i,Natural Shock index,j,Victims of natural disasters (%),,k,Agricultural instability,,l,Export instability,,m,HAI,n,Health index,o,Prevalence of undernourishment  in total population (%),,p,Under 5 mortality (per 1000),,q,"Maternal mortality (per 100,000 live birth)",,r,Education index,s,Literacy rate,,t,Gross secondary enrolment ratio,,u,GNI per capita ($),v
716,ZWE,Zimbabwe,,59.7,,35.4,,"16,150,362",28.0,,7323.40,82.312,90.4,,0.00,0.0,,23.3,,0.34,28.4,,11.8,18.2,,84.0,,68.0,,5.397,91.9,,9.68,44.2,,37.70,100.0,,59.8,,56.3,,44.7,33.8,,56.4,71.9,,443,63.3,,63.3,,88.7,84.9,t23,47.6,41.7,,953,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bounds:,,,,,,,"150,000",,,,10.000,,,0.00,,,,,0.10,,,1,,,,,,,0.005,,,1.50,,,5,,,,,,,5,,,10.0,,,5,,,,,25.0,,,10.0,,,,
,,,,,,,,"100,000,000",,,,90.000,,,35.00,,,,,0.95,,,60,,,,,,,10.000,,,20.00,,,35,,,,,,,65,,,175.0,,,1200,,,,,100.0,,,100.0,,,,
,Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,a,The EVI is calculated as 1/2 of the Exposure index and 1/2 of the Shock index.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,b,"The Exposure Index is calculated as 1/4 of the Population (Size index), 1/4 of the Remoteness (Location index), 1/4 of the Share of population in low elevated coastal zones (environment index) and 1/4 of the Economic structure index.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,c,"Source: United Nations, Department of Economic and Social Affairs (DESA), Population Division, World Population Prospects 2017 Revision (available at https://esa.un.org/unpd/wpp/Download/Standard/Population/, accessed 27 June 2017). Data refer to 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,d,"Source: United Nations, Department of Economic and Social Affairs (DESA), CDP Secretariat, based on distance data by Centre d'Etudes Prospectives et d'Informations Internationales (CEPII), unless otherwise indicated, and data on exports and imports of goods and services (2014-2016) from United Nations, Department of Economic and Social Affairs (DESA), Statistics Division, National Accounts Main Aggregates Database (available at http://unstats.un.org/unsd/snaama, accessed 2 Jan 2017). The average distance to world markets is in km, the adjusted value is an index based on average distance and landlockedness.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,e,"Source: Center for International Earth Science Information Network (CIESIN), Columbia University.  Low Elevation Coastal Zone (LECZ) Urban-Rural Population and Land Area Estimates, Version 2. Palisades, NY: NASA Socioeconomic Data and Applications Center (SEDAC) (available at http://sedac.ciesin.columbia.edu/data/sets/browse, accessed 16 December 2014), unless otherwise indicated. Data refer to 2010 population, 90 m resolution, unless otherwise indicated.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,e1,"Source: Center for International Earth Science Information Network (CIESIN), Columbia University 2012.  National Aggregates of Geospatial Data Collection: Population, Landscape, And Climate Estimates, Version 3 (PLACE III). Palisades, NY: NASA Socioeconomic Data and Applications Center (SEDAC) (available at http://sedac.ciesin.columbia.edu/data/sets/browse, accessed 16 December 2014). Data refer to 2010 population.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,e2,"Source: Center for International Earth Science Information Network (CIESIN), Columbia University 2012.  National Aggregates of Geospatial Data Collection: Population, Landscape, And Climate Estimates, Version 3 (PLACE II). Palisades, NY: NASA Socioeconomic Data and Applications Center (SEDAC) (available at http://sedac.ciesin.columbia.edu/data/sets/browse, accessed 16 December 2014). Data refer to 2000 population.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,e3,"Source: Center for International Earth Science Information Network (CIESIN), Columbia University 2012.  National Aggregates of Geospatial Data Collection: Population, Landscape, And Climate Estimates, Version 3 (PLACE III). Palisades, NY: NASA Socioeconomic Data and Applications Center (SEDAC) (available at http://sedac.ciesin.columbia.edu/data/sets/browse, accessed 16 December 2014). Data refer to 2000 population.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,f,"The Economic structure index is calculated as 1/2 of the Export concentration and 1/2 of the Shares of agriculture, forestry and fisheries.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,g,"Source: United Nations Conference on Trade and Development (UNCTAD), UNCTADstat (available at http://unctadstat.unctad.org, accessed 4 Dec 2017). Data refer to 2014-2016 average, unless otherwise indicated.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,g1,Data refer to 2009-2011 average of Former Sudan.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,h,"Source: United Nations, Department of Economic and Social Affairs (DESA), Statistics Division, National Accounts Main Aggregates Database (available at http://unstats.un.org/unsd/snaama, accessed 2 Jan 2017). Data refer to 2014-2016 average.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,i,The Shock index is calculated as 1/2 of the Natural shock index and 1/2 of the Export instability (Trade shock index).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,j,"The Natural shock index is calculated at 50 per cent of the sum of the max-min figures for Victims per 100,000 population and Agricultural instability.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,k,"Source: United Nations, Department of Economic and Social Affairs (DESA), CDP Secretariat calculated, based on disaster data from EM-DAT: The Emergency Events Database - Universite catholique de Louvain (UCL) - CRED, D. Guha-Sapir, Brussels, Belgium (available at http://www.emdat.be, accessed at 14 Dec 2017), and on population data from United Nations, Department of Economic and Social Affairs (DESA), Population Division, World Population Prospects 2017 Revision (available at https://esa.un.org/unpd/wpp/Download/Standard/Population/, accessed 27 June 2017). Data refer to the 1997-2016 average.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,l,"Source: United Nations, Department of Economic and Social Affairs (DESA), CDP Secretariat, based on agricultural production data from Food and Agriculture Organization (FAO), FAOSTAT (available at http://faostat3.fao.org/home/E, accessed at 25 Aug 2017). Data refer to period 1994-2014, unless otherwise indicated.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,l1,Data refer to period 1995-2014. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,l2,Data calculated as the regional average of Micronesia for the period 1995-2014. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,l3,"Data refer to the index of Former Sudan, 1994-2011 period.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,m,"Source: United Nations, Department of Economic and Social Affairs (DESA), CDP Secretariat, based on constant exports of goods and services data from United Nations, Department of Economic and Social Affairs (DESA), Statistics Division, National Accounts Main Aggregates Database (available at http://unstats.un.org/unsd/snaama, accessed 2 Jan 2017). Data refer to period 1996-2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,m1,Data for 1996-2007 are derived by splitting exports of Former Sudan between Sudan and South Sudan according to the 2008-2016 average share of the country.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,n,The HAI is calculated as 1/2 of the Health index and 1/2 of the Education index.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,o,"The Health index is calculated as 1/3 of the Prevalence of undernourishment, 1/3 of the Under-five mortality rate and 1/3 of the Maternal mortality rate.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,p,"Source: Food and Agriculture Organization (FAO), FAOSTAT (data available at http://www.fao.org/faostat/en/#data, accessed on 21 September 2017), unless otherwise indicated. Data refer to average 2014-2016, unless otherwise indicated.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,p1,"Original data ""<2.5%"".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,p2,Data from 2009 triennial review.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,p3,"Original data ""<5%"".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,p4,"Source: Food and Agriculture Organization (FAO), The State of Food Insecurity in the World (SOFI) 2013 (available at http://www.fao.org/publications/sofi/2013/en/, accessed 22 September 2017). Data refer to average 2011-2013.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,p5,Data from 2012 triennial review.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,p6,"Source: World Bank, World Development Indicators Archives, WDI September 2011 (avaliable at https://data.worldbank.org/data-catalog/wdi-database-archives, accessed 22 September 2017). Data refer to average 2006-2008.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,p7,"Source: World Bank, World Development Indicators Archives, WDI March 2015 (avaliable at https://data.worldbank.org/data-catalog/wdi-database-archives, accessed 22 September 2017). Data refer to average 2011-2013.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,p8,Data calculated as the regional average of Micronesia.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,p9,"Source: Secretariat of the Pacific Community (SPC), National Minimum Development Indicators (available at http://www.spc.int/nmdi/, accessed 22 September 2017). Data refer to 2005.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,p10,"Source: Secretariat of the Pacific Community (SPC), National Minimum Development Indicators (available at http://www.spc.int/nmdi/, accessed 22 September 2017). Data refer to 2006.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,p11,"Source: World Bank, World Development Indicators Archives, WDI April 2006 (avaliable at https://data.worldbank.org/data-catalog/wdi-database-archives, accessed 22 September 2017). Data refer to average 2002-2004.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,p12,"Data refer to Sudan, 2014-2016 average. It is likely to underestimate undernourishment in the country.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,q,"Source: United Nations Inter-agency Group for Child Mortality estimation (CME), CME Info (available at http://childmortality.org, accessed on 19 Oct 2017). Data period is 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r,"Source: United Nations Inter-agency Group for Maternal Mortality. Trends in maternal mortality: 1990 to 2015 (available at http://www.who.int/reproductivehealth/publications/monitoring/maternal-mortality-2015/en/, accessed on 10 Aug 2017). Data period is 2015.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r1,"Source: United Nations Inter-agency Group for Maternal Mortality. Trends in maternal mortality: 1990 to 2015, special dataset (received 1 March 2018). Data period is 2015.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,s,The Education index is calculated as 1/2 of the Adult literacy rate and 1/2 of the Grosss secondary enrolment ratio.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,t,"Source: United Nations Educational, Scientific and Cultural Organisation (UNESCO), Institute for Statistics (UIS), Data Centre (available at htpp://www.uis.unesco.org, accessed 1 Sep 2017), unless otherwise indicated. Data refer to the latest available year within the 2012-2016 period, unless otherwise indicated.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,t1,Data refer to 2011.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,t2,"Source: United Nations Educational, Scientific and Cultural Organisation (UNESCO), Education For All Global Monitoring Report 2015 (Statistical Annex) (available at http://en.unesco.org/gem-report/allreports, accessed 15 Sep 2017). Data refer to the latest available year in the 2005-2012 period.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,t3,"Source: International Monetary Fund (IMF), IMF Country Report No. 15/203, 2015 Article IV Consultation - Press Release; and Staff Report, July 2015 (available at: http://www.imf.org/external/country/, accessed 15 Sep 2017). Data refer to 2007.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,t4,"Source: Caribbean Community (CARICOM), Regional Statistics, Caribbean Specific Millennium Development Goals Indicators For CARICOM Countries (available at http://www.caricomstats.org/CSMDG.html, accessed 15 Sep 2017). Data refer to 2010.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,t5,"Source: United Nations Educational, Scientific and Cultural Organisation (UNESCO), Education For All Global Monitoring Report 2011 (Statistical Annex) (available at http://en.unesco.org/gem-report/allreports, accessed 15 Sep 2017). Data refer to the latest available year in the 2005-2012 period. Data refer to 2015 projection.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,t6,"Source: United Nations Educational, Scientific and Cultural Organisation (UNESCO), Education For All Global Monitoring Report 2015 (Statistical Annex) (available at http://en.unesco.org/gem-report/allreports, accessed 15 Sep 2017). Data refer to 2015.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,t7,"Source: United Nations Development Programme (UNDP), Arab Development Portal (available at http://arabdevelopmentportal.com/, accessed 15 Sep 2017). Data refer to 2012.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,t8,"Source: International Monetary Fund (IMF), IMF Country Report No. 16/244, 2016 Article IV Consultation - Press Release; and Staff Report and Statement by the Executive Director for Dominica, July 2016 (available at: http://www.imf.org/external/country/, accessed 15 Sep 2017). Data refer to 2004.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,t9 ,"Source: United Nations Educational, Scientific and Cultural Organisation (UNESCO), Fiji Education For All National Review Report 2015 (available at http://unesdoc.unesco.org/images/0023/002314/231487e.pdf, accessed 15 Sep 2017). Data refer to 2006.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,t10,"Source: World Health Organization (WHO), Pan American Health Organization (PAHO), Health in the Americas, Country Chapters,  Grenada (available at http://www.paho.org/salud-en-las-americas-2012/index.php?option=com_content&view=article&id=9:edicion-2012&Itemid=124&lang=en, accessed 15 Sep 2017). Data refer to 2005.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,t11,Previous review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,t12,"Source: Kiribati 2015 Population and Housing Census (available at http://www.mfed.gov.ki/statistics/documents/2015_Population_Census_Report_Volume_1final_211016.pdf, accessed 30 Nov 2017). Data refer to 2015.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,t13,"Source: World Health Organization (WHO), Western Pacific Region (WPR), Health Services Delivery Profiles, Kiribati (available at http://www.wpro.who.int/health_services/health_service_delivery_profiles/en/, accessed 15 Sep 2017). Data refer to 2009.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,t14,"Source: Secretariat of the Pacific Community (SPC), National Minimum Development Indicator Database, Nauru 2011 Census report (available at http://www.spc.int/nmdi/references, accessed 15 Sep 2017). Data refer to 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,t15,"Source: United Nations Economic and Social Commission for Asia and the Pacific (UNESCAP) Statistical Database, Country Profile Republic of Korea (available at http://data.unescap.org/escap_stat/#countryProfiles/, accessed 15 Sep 2017). Data refer to 2008.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,t16,"Source: International Monetary Fund (IMF), IMF Country Report No. 17/186, 2017 Article IV Consultation - Press Release; and Staff Report, July 2017 (available at: http://www.imf.org/external/country/, accessed 15 Sep 2017). Data refer to 2009.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,t17,"Source: International Monetary Fund (IMF), IMF Country Report No. 17/76, 2017 Article IV Consultation - Press Release and Staff Report, March 2017 (available at: http://www.imf.org/external/country/, accessed 15 Sep 2017). Data refer to 2009.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,t18,"Source: International Monetary Fund (IMF), IMF Country Report No. 16/243, 2016 Article IV Consultation - Press Release and Staff Report, July 2016 (available at: http://www.imf.org/external/country/, accessed 15 Sep 2017). Data refer to 2001.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,t19,"Source: World Health Organization (WHO), Western Pacific Region (WPR), Western Pacific Country Health Information Profiles, 2011 (available at http://www.wpro.who.int/health_information_evidence/documents/CHIPS/en/, accessed 15 Sep 2017). Data refer to 2009.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,t20,"Source: United Nations Population Fund, Somali People in Numbers, 2016 (available at http://somalia.unfpa.org/news/somali-people-numbers, accessed 15 Sep 2017). Data refer to 2014.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,t21,"Source: United Nations Development Programme (UNDP), MDG Progress Reports - Asia and the Pacific, Tuvalu Millenium Development Goals progress report 2010/2011 (available at http://www.undp.org/content/undp/en/home/librarypage/mdg/mdg-reports/asia-pacific.html, accessed 15 Sep 2017). Data refer to adult literacy for population 15-49 for 2007.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,t22,"Source: United Nations International Childrens Fund (UNICEF), Vanuatu Statistics (available at https://www.unicef.org/infobycountry/vanuatu_statistics.html, accessed 15 Sep 2017). Data refer to the latest available year within the 2008-2012 period.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,t23,UIS estimate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,t24,Data refer to 2010.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,t25,Data refer to 2009.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,t26,Data refer to 2008.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,t27,Data refer to 2007.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,t28,"Source: Laos 2015 Population and Housing Census (available at https://www.lsb.gov.la/pdf/PHC-ENG-FNAL-WEB.pdf, accessed 2 Jan 2018). Data refer to 2015.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,u,"Source: United Nations Educational, Scientific and Cultural Organisation (UNESCO), Institute for Statistics (UIS), Data Centre (available at http://www.uis.unesco.org, accessed 1 Sep 2017), unless otherwise indicated. Data refer to the latest available year within the 2012-2016 period, unless otherwise indicated.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,u1,Data refer 2011.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,u2,Data refer to 2005.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,u3,Data refer to 2004.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,u4,"Source: United Nations Economic and Social Commission for Asia and the Pacific (UNESCAP), Azerbaijan - Country Profile SYB 2015 (available at http://www.unescap.org/resources/azerbaijan-country-profiles-syb-2015, accessed 15 Sep 2017). Data refer to 2012.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,u5,"Source: African Development Bank (AfDB), Organization for Economic Development and Co-operation (OECD) and United Nations Development Fund (UNDP), African Economic Outlook 2013 (available at https://www.afdb.org/en/knowledge/publications/african-economic-outlook/african-economic-outlook-2013/, accessed 15 Sep 2017). Data refer to the latest available year within the 2006-2012 period.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,u6,"Source: African Development Bank (AfDB), Organization for Economic Development and Co-operation (OECD) and United Nations Development Fund (UNDP), African Economic Outlook 2014 (available at https://www.afdb.org/en/knowledge/publications/african-economic-outlook/african-economic-outlook-2013/, accessed 15 Sep 2017). Data refer to the latest available year within the 2006-2012 period.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,u7,"Source: United Nations, Department of Economic and Social Affairs (DESA), CDP Secretariat, calculated based on total secondary school enrolment data from the Programmes d'interventions prioritaires en education (PIPE) from the Ministere de l'Education Nationale et de la Formation Professionelle (MENFP) of Haiti (available at https://www.globalpartnership.org/fr/content/programmes-dinterventions-prioritaires-pipe-ha%C3%AFti-2013-2016, accessed 4 Jan 2018) and and on age-related population data from United Nations, Department of Economic and Social Affairs (DESA), Population Division, World Population Prospects 2017 Revision, (available at available at https://esa.un.org/unpd/wpp/Download/Standard/Population/, accessed 27 June 2017). Data refer to 2011.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,u8,"Source: United Nations, Department of Economic and Social Affairs (DESA), CDP Secretariat, calculated based on lower and upper secondary school enrolment and population data from the Ministry of Education Maldives (available at https://www.moe.gov.mv/en/page, accessed 15 Sep 2017). Data refer to 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,u9,"Source: Ministry of Finance Singapore, Singapore at a glance (available at https://data.gov.sg/, accessed 15 Sep 2017). Data refer to 2015.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,u10,"Source: United Nations Educational, Scientific and Cultural Organisation (UNESCO), Education For All Global Monitoring Report 2008, Regional overview: Arab States (available at http://en.unesco.org/gem-report/, accessed 1 Sep 2017). Data refer to 2005.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,u11,"Source: United Nations, Department of Economic and Social Affairs (DESA), CDP Secretariat, calculated based on total lower and upper secondary school enrolment data from the General Statistics Office of Viet Nam (available at http://www.gso.gov.vn/default_en.aspx?tabid=782, accessed 15 Sep 2017) and and on age-related population data from United Nations, Department of Economic and Social Affairs (DESA), Population Division, World Population Prospects 2017 Revision, (available at available at https://esa.un.org/unpd/wpp/Download/Standard/Population/, accessed 27 June 2017). Data refer to 2015.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,u12,"Source: United Nations, Department of Economic and Social Affairs (DESA), CDP Secretariat, calculated based on total lower and upper secondary school enrolment data from the Central Statistics Office of Zambia (available at http://www.zamstats.gov.zm, accessed 15 Sep 2017) and and on age-related population data from United Nations, Department of Economic and Social Affairs (DESA), Population Division, World Population Prospects 2017 Revision, (available at available at https://esa.un.org/unpd/wpp/Download/Standard/Population/, accessed 27 June 2017). Data refer to 2015.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,u13,National estimate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,u14,UIS estimate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,u15,Data refer 2010.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,u16,Data refer 2009.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,u17,Data refer 2008.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,u18,Data refer 2007.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,v,"Source: United Nations, Department of Economic and Social Affairs (DESA), Statistics Division, based on National Accounts Main Aggregates Database (available at http://unstats.un.org/unsd/snaama), using currency conversion rate based on the World Bank Atlas method and adjusted to calendar year, where applicable, (received 18 Jan 2017). Data is the 2014-2016 average.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
